year,date,tournament,h_team,a_team,h_elo,a_elo,h_score,a_score,location,neutral
"2,018",January 2,Gulf Cup,Iraq,United Arab Emirates,"1,570","1,560",0,0,in Kuwait,1
"2,018",January 2,Gulf Cup,Oman,Bahrain,"1,511","1,418",1,0,in Kuwait,1
"2,018",January 5,Gulf Cup,United Arab Emirates,Oman,"1,561","1,526",0,0,in Kuwait,1
"2,018",January 7,Friendly,Sweden,Estonia,"1,825","1,508",1,1,in the United Arab Emirates,1
"2,018",January 11,Friendly,Finland,Jordan,"1,595","1,480",2,1,in the United Arab Emirates,1
"2,018",January 14,Friendly,Indonesia,Iceland,"1,234","1,812",1,4,in Indonesia,0
"2,018",January 27,Friendly,South Korea,Moldova,"1,760","1,331",1,0,in Turkey,1
"2,018",January 28,Friendly,United States,Bosnia and Herzegovina,"1,751","1,723",0,0,in the United States,0
"2,018",January 30,Friendly,Azerbaijan,Moldova,"1,400","1,329",0,0,in Turkey,1
"2,018",January 30,Friendly,South Korea,Jamaica,"1,762","1,565",2,2,in Turkey,1
"2,018",January 31,Friendly,Mexico,Bosnia and Herzegovina,"1,848","1,727",1,0,in the United States,1
"2,018",February 3,Friendly,South Korea,Latvia,"1,757","1,362",1,0,in Turkey,1
"2,018",February 26,Friendly,Saudi Arabia,Moldova,"1,567","1,331",3,0,in Saudi Arabia,0
"2,018",February 28,Friendly,Iraq,Saudi Arabia,"1,569","1,571",4,1,in Iraq,0
"2,018",March 17,Friendly,Iran,Sierra Leone,"1,800","1,380",4,0,in Iran,0
"2,018",March 20,Friendly,Tahiti,New Caledonia,"1,218","1,209",0,0,in Tahiti,0
"2,018",March 21,Friendly,Liechtenstein,Andorra,"1,168","1,012",0,1,in Spain,1
"2,018",March 21,Friendly tournament,South Africa,Angola,"1,545","1,241",1,1,in Zambia,1
"2,018",March 21,Friendly,Antigua and Barbuda,Bermuda,"1,203","1,198",3,2,in Antigua and Barbuda,0
"2,018",March 21,Friendly tournament,Iraq,Qatar,"1,582","1,464",2,3,in Iraq,0
"2,018",March 21,Friendly,Jordan,Kuwait,"1,473","1,421",1,0,in Jordan,0
"2,018",March 21,Friendly,Laos,Cambodia,783,811,0,1,in Laos,0
"2,018",March 21,Friendly,Togo,Madagascar,"1,383","1,368",0,0,in France,1
"2,018",March 21,Friendly tournament,Zambia,Zimbabwe,"1,501","1,472",2,2,in Zambia,0
"2,018",March 22,Friendly,Algeria,Tanzania,"1,538","1,300",4,1,in Algeria,0
"2,018",March 22,Friendly,Bahrain,Palestine,"1,403","1,401",0,0,in Bahrain,0
"2,018",March 22,Friendly,Belize,Grenada,"1,160","1,110",4,2,in Belize,0
"2,018",March 22,Friendly,Burkina Faso,Guinea-Bissau,"1,607","1,292",2,0,in France,1
"2,018",March 22,Friendly tournament,China,Wales,"1,565","1,763",0,6,in China,0
"2,018",March 22,Friendly,Denmark,Panama,"1,842","1,671",1,0,in Denmark,0
"2,018",March 22,Friendly,Dominican Republic,Turks and Caicos Islands,"1,249",763,4,0,in the Dominican Republic,0
"2,018",March 22,Friendly,Latvia,Faroe Islands,"1,360","1,280",1,1,in Spain,1
"2,018",March 22,Asian Cup qualifier,Kyrgyzstan,Myanmar,"1,207","1,093",5,1,in South Korea,1
"2,018",March 22,Friendly,Macao,Mauritius,679,"1,068",0,1,in Macao,0
